,Unnamed: 0,index,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT,I_ITEM,I_CATEGORY,I_Ventes_Volume_2018,I_Ventes_Volume_2019
912,912,2518,3760077533630,FLORELLI,FLORELLI | LEGUMES | MASCARPONE | POT | NON_BIO,LEGUMES,MASCARPONE,NON_BIO,PF,250,POT,1CT,STD,17797.1,16461.8,3760077533630,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_MASCARPONE_1CT_250G_*_NON_BIO,2518,SAUCES_POUR_FECULENTS,1,3760077533630,POMODORO,1499.8999999999999,1806.8
913,913,2519,3760077530691,FLORELLI,FLORELLI | LEGUMES | MASCARPONE | POT | NON_BIO,LEGUMES,MASCARPONE,NON_BIO,PF,290,POT,1CT,STD,44449.3,69325.70000000001,3760077530691,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_MASCARPONE_1CT_290G_*_NON_BIO,2519,SAUCES_POUR_FECULENTS,1,3760077530691,FROMAGE,9718.900000000001,6102.3
914,914,2520,3760077533623,FLORELLI,FLORELLI | LEGUMES | OLIVE | POT | NON_BIO,LEGUMES,OLIVE,NON_BIO,PF,250,POT,1CT,STD,48260.2,42923.2,3760077533623,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_OLIVE_1CT_250G_*_NON_BIO,2520,SAUCES_POUR_FECULENTS,1,3760077533623,OLIVES,3690.2000000000003,4300.000000000001
915,915,2521,3760077533654,FLORELLI,FLORELLI | LEGUMES | PARMESAN | POT | NON_BIO,LEGUMES,PARMESAN,NON_BIO,PF,250,POT,1CT,STD,105203.79999999996,95341.1,3760077533654,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_PARMESAN_1CT_250G_*_NON_BIO,2521,SAUCES_POUR_FECULENTS,1,3760077533654,POMODORO,9086.9,10526.1
916,916,2522,3760077530103,FLORELLI,FLORELLI | LEGUMES | POIV_RG | POT | NON_BIO,LEGUMES,POIV_RG,NON_BIO,PF,290,POT,1CT,STD,4.0,102.1,3760077530103,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_POIV_RG_1CT_290G_*_NON_BIO,2522,SAUCES_POUR_FECULENTS,1,3760077530103,POIVRON,13.900000000000002,0.6
917,917,2523,3760077537188,FLORELLI,FLORELLI | LEGUMES | PUTTANESCA | POT | NON_BIO,LEGUMES,PUTTANESCA,NON_BIO,PF,250,POT,1CT,STD,18596.6,0.0,3760077537188,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_PUTTANESCA_1CT_250G_*_NON_BIO,2523,SAUCES_POUR_FECULENTS,1,3760077537188,POMODORO,0.0,1784.3
918,918,2524,3760077537157,FLORELLI,FLORELLI | LEGUMES | TOM_SECHE | POT | NON_BIO,LEGUMES,TOM_SECHE,NON_BIO,PF,250,POT,1CT,STD,4174.8,0.0,3760077537157,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_TOM_SECHE_1CT_250G_*_NON_BIO,2524,SAUCES_POUR_FECULENTS,1,3760077537157,PESTO_ROUGE,0.0,395.8
919,919,2525,3760077530073,FLORELLI,FLORELLI | LEGUMES | TOM_SECHE | POT | NON_BIO,LEGUMES,TOM_SECHE,NON_BIO,PF,290,POT,1CT,STD,65847.7,111621.80000000002,3760077530073,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_TOM_SECHE_1CT_290G_*_NON_BIO,2525,SAUCES_POUR_FECULENTS,1,3760077530073,PESTO_ROUGE,15561.100000000002,9046.6
920,920,2526,3760077534828,FLORELLI,FLORELLI | PESTO | LE_PESTO_ALLA_CALABRESE_POIVRO | POT | NON_BIO,PESTO,LE_PESTO_ALLA_CALABRESE_POIVRO,NON_BIO,PF,190,POT,1CT,STD,234273.9,208230.8,3760077534828,POT_AUT_FAB_FLORELLI_PESTO_PF_LE_PESTO_ALLA_CALABRESE_POIVRO_1CT_190G_*_NON_BIO,2526,SAUCES_POUR_FECULENTS,1,3760077534828,PESTO_AUTRE,16986.7,19020.1
921,921,2527,3760077534835,FLORELLI,FLORELLI | PESTO | LE_PESTO_ALLA_CALABRESE_TOMATE | POT | NON_BIO,PESTO,LE_PESTO_ALLA_CALABRESE_TOMATE,NON_BIO,PF,190,POT,1CT,STD,209231.6,189246.00000000003,3760077534835,POT_AUT_FAB_FLORELLI_PESTO_PF_LE_PESTO_ALLA_CALABRESE_TOMATE_1CT_190G_*_NON_BIO,2527,SAUCES_POUR_FECULENTS,1,3760077534835,FROMAGE,15364.0,16704.7
922,922,2528,3760077532138,FLORELLI,FLORELLI | PESTO | PESTO_RGE | POT | NON_BIO,PESTO,PESTO_RGE,NON_BIO,PF,190,POT,1CT,STD,251906.1,246008.0,3760077532138,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_PESTO_PF_PESTO_RGE_1CT_190G_*_NON_BIO,2528,SAUCES_POUR_FECULENTS,1,3760077532138,PESTO_ROUGE,20257.7,20516.1
923,923,2529,3760077535573,FLORELLI,FLORELLI | PESTO | PESTO_RGE | POT | NON_BIO,PESTO,PESTO_RGE,NON_BIO,PF,200,POT,1CT,STD,4455.1,30399.6,3760077535573,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_PESTO_PF_PESTO_RGE_1CT_200G_*_NON_BIO,2529,SAUCES_POUR_FECULENTS,1,3760077535573,PESTO_ROUGE,2393.4,348.2
924,924,2530,3760077534866,FLORELLI,FLORELLI | PESTO | PESTO_ROQUETTE_&_NOIX | POT | NON_BIO,PESTO,PESTO_ROQUETTE_&_NOIX,NON_BIO,PF,190,POT,1CT,STD,64759.20000000001,68873.79999999999,3760077534866,FECULENTS_POT_AUT_FAB_FLORELLI_PESTO_PF_PESTO_ROQUETTE_&_NOIX_1CT_190G_*_NON_BIO,2530,SAUCES_POUR_FECULENTS,1,3760077534866,PESTO_VERT,5430.5,5191.9000000000015
925,925,2531,3760077530783,FLORELLI,FLORELLI | PESTO | PESTO_VERD | POT | NON_BIO,PESTO,PESTO_VERD,NON_BIO,PF,190,POT,1CT,STD,488871.50000000006,465188.3,3760077530783,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_PESTO_PF_PESTO_VERD_1CT_190G_*_NON_BIO,2531,SAUCES_POUR_FECULENTS,1,3760077530783,PESTO_VERT,35071.4,36844.200000000004
926,926,2532,3760077535535,FLORELLI,FLORELLI | PESTO | PESTO_VERD | POT | NON_BIO,PESTO,PESTO_VERD,NON_BIO,PF,200,POT,1CT,STD,5543.4,32910.399999999994,3760077535535,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_PESTO_PF_PESTO_VERD_1CT_200G_*_NON_BIO,2532,SAUCES_POUR_FECULENTS,1,3760077535535,PESTO_VERT,2534.2000000000003,422.3999999999999
927,927,2534,8410066127702,HEINZ,HEINZ | BIO | AIL_OIGNON | POT | BIO,BIO,AIL_OIGNON,BIO,MF,500,POT,1CT,STD,324194.0,443754.6,8410066127702,SAUCES_POUR_FECULENTS_POT_HEINZ_BIO_MF_AIL_OIGNON_1CT_500G_*_BIO,2534,SAUCES_POUR_FECULENTS,1,8410066127702,OLIVES,73789.90000000001,51343.3
928,928,2535,8715700111490,HEINZ,HEINZ | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,BOLO_CLASSIQUE,BOLOGNAISE,NON_BIO,MF,490,POT,1CT,STD,2563.3,0.0,8715700111490,SAUCES_POUR_FECULENTS_POT_HEINZ_BOLO_CLASSIQUE_MF_BOLOGNAISE_1CT_490G_*_NON_BIO,2535,SAUCES_POUR_FECULENTS,1,8715700111490,BOLOGNAISE,0.0,0.0
929,929,2536,3660603080570,HEINZ,HEINZ | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,BOLO_CLASSIQUE,BOLOGNAISE,NON_BIO,MF,490,POT,1CT,STD,256252.9,77441.5,3660603080570,SAUCES_POUR_FECULENTS_POT_HEINZ_BOLO_CLASSIQUE_MF_BOLOGNAISE_1CT_490G_*_NON_BIO,2536,SAUCES_POUR_FECULENTS,1,3660603080570,BOLOGNAISE,11699.7,34102.0
930,930,2537,3660603080686,HEINZ,HEINZ | BOLO_CLASSIQUE | BOLOGNAISE_RICHE_EN_BOEUF | POT | NON_BIO,BOLO_CLASSIQUE,BOLOGNAISE_RICHE_EN_BOEUF,NON_BIO,MF,490,POT,1CT,STD,157014.9,119103.0,3660603080686,POT_HEINZ_BOLO_CLASSIQUE_MF_BOLOGNAISE_RICHE_EN_BOEUF_1CT_490G_*_NON_BIO,2537,SAUCES_POUR_FECULENTS,1,3660603080686,BOLOGNAISE,15659.8,25468.3
