N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
BARILLA | LEGUMES | ZUCCHINE_&_LEGUMES_GRILLES | POT | NON_BIO,1,1.0,0,166420.1,106829.5
PANZANI | PESTO | PIGNONS_ENTIER | POT | NON_BIO,1,1.0,0,163393.4,422524.9
JARDIN_BIO | BIO | TOMATE_CUI | POT | BIO,1,1.0,0,153921.5,0.0
RUMMO | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,1,1.0,0,153684.0,128736.90000000005
LUCIEN_GEORGELIN | LEGUMES | TOMATE_DE_MARMANDE | POT | NON_BIO,2,2.0,0,152854.3,77560.39999999997
AUT_MQ | LEGUMES | OLIVE | POT | NON_BIO,11,7.0,4,151015.69999999998,138254.8
MQ_FAB_1_PRX | LEGUMES | TOMATE_CUISINEE_AUX_PETITS_LEG | POT | NON_BIO,1,1.0,0,150968.4,131618.5
BARILLA | PESTO | PESTO_RUSTICO_LEGUMES_MEDITERA | POT | NON_BIO,1,1.0,0,149731.0,318132.99999999994
AUT_MQ | PESTO | PESTO_RGE | POT | NON_BIO,20,14.0,6,144524.20000000004,183314.3
SACLA | BIO | PESTO_GENOVESE_TOFU | POT | BIO,1,1.0,0,141032.0,150105.99999999994
MDD | AUT_SCE |  | BRIC | ,1,0.0,1,139057.00000000006,0.0
SACLA | LEGUMES | TOMATES_CERISES_EN_RONDELLES_P | POT | NON_BIO,1,1.0,0,136671.60000000006,149204.40000000002
AUT_MQ | BIO | THYM | POT | BIO,2,2.0,0,136596.8,143301.9
AUT_MQ | LEGUMES | MARINARA | POT | NON_BIO,4,2.0,2,133157.7,9253.499999999998
AUT_MQ | SCE_CLAS | CRANBERRY_BBQ | POT | NON_BIO,1,1.0,0,132893.4,342920.2000000001
RUMMO | LEGUMES | ARRABIATA | POT | NON_BIO,1,1.0,0,131033.09999999998,116003.7
SACLA | BIO | BASILIC | POT | BIO,1,1.0,0,130602.6,131387.6
RUMMO | BOLO_VEGETARIENNE | BOLOGNESE_VEGETALE | POT | NON_BIO,1,1.0,0,129465.1,57586.7
AUT_MQ | LEGUMES | PISTOU | POT | NON_BIO,8,5.0,3,128944.29999999996,147349.30000000002
JARDIN_BIO | BIO | BASILIC_PROTEINES_DE_SOJA | POT | BIO,1,1.0,0,128661.3,111472.7
BARILLA | PESTO | PESTO_RUSTICO_MEDITERRANEO | POT | NON_BIO,1,1.0,0,128527.0,0.0
SACLA | LEGUMES | POIV_MOZZA | POT | NON_BIO,1,1.0,0,127918.2,108493.5
MDD_1_PRX | SAUCES_POUR_FECULENTS |  | BTE_FER | ,1,0.0,1,126811.0,141644.7
LUCIEN_GEORGELIN | BIO | BASILIC | POT | BIO,1,1.0,0,116060.39999999998,11884.000000000002
AUT_MQ | SCE_CLAS | PESTO_ORANGE | POT | NON_BIO,1,1.0,0,113693.09999999998,120018.1
ITALIANS_DO_IT_BETTER | BOLO_CLASSIQUE | BOULETTES_DE_VIANDE | POT | NON_BIO,1,1.0,0,111662.2,141565.7
