N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
"AUT MQ, SCE CLAS, PESTO BLANC, POT, ",1,1.0,0,7122.0999999999985,6564.5999999999985
"AUT MQ, SCE CLAS, PANANG CURRY, DOY PAC, ",1,1.0,0,7006.499999999999,16859.199999999993
"AUT MQ, SCE CLAS, BEURRE BLANC RICHE EN ECHALOTE, DOY PAC, ",1,1.0,0,6902.0999999999985,8713.4
"AUT MQ, LEGUMES, NAPOLITAIN, POT, ",12,9.0,3,6762.000000000002,6920.5
"RIVOIRE & CARRET, BOLO ORIGINALE, BOLOGNAISE LEGUMES, POT, ",1,1.0,0,6480.299999999998,4602.0999999999985
"AUT MQ, BIO, THYM, POT, ",2,2.0,0,6410.799999999999,6459.199999999999
"AUT MQ, SCE CLAS, OSEILLE A LA CREME FRAICHE AU, DOY PAC, ",1,1.0,0,6388.5,7109.799999999998
"FLORELLI, LEGUMES, CEPE, POT, ",1,1.0,0,6366.7,6520.000000000001
"PANZANI, PESTO, PEST BASIL PARM, COUPELLE, ",1,1.0,0,6366.2,0.0
"AUT MQ, LEGUMES, LEG GRILLE, POT, ",3,3.0,0,6307.5,6580.9
"ZAPETTI BUITONI, LEGUMES, RATATOUILLE, BTE FER, ",2,2.0,0,6282.9,9332.3
"AUT MQ, SCE CLAS, PESTO JAUNE, POT, ",1,1.0,0,5941.000000000001,6622.6
"DE CECCO, LEGUMES, NAPOLITAIN, POT, ",2,2.0,0,5852.099999999999,6484.200000000001
"DE CECCO, LEGUMES, SICILIEN, POT, ",2,2.0,0,5762.199999999999,6658.7
"FLORELLI, LEGUMES, AUBER BASI, POT, ",1,1.0,0,5609.1,8311.0
"FLORELLI, PESTO, PESTO ROQUETTE & NOIX, POT, ",1,1.0,0,5536.9000000000015,6110.3
"AUT MQ, BOLO CLASSIQUE, BOLOGNAISE PUR BOEUF, POT, ",1,1.0,0,5485.9,4443.4000000000015
"AUT MQ, LEGUMES, H OLIVE, BTE FER, ",1,1.0,0,5261.7,5334.5
"AUT MQ, CREME, FROMAGE, POT, ",3,3.0,0,5184.099999999999,5726.699999999999
"LOUIS MARTIN, BOLO CLASSIQUE, BOLOGNAISE, POT, ",3,2.0,1,5151.9000000000015,4876.0
"RIVOIRE & CARRET, LEGUMES, TOMATES BASILIC, POT, ",1,1.0,0,5049.5999999999985,2812.7999999999993
"SACLA, PESTO, PESTO ENFER, POT, ",1,1.0,0,5045.1,5308.0999999999985
"SACLA, LEGUMES, AUBER OLIV NR CAJOU, POT, ",1,1.0,0,5007.0,6294.600000000001
